,Measure,Song For M,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
24,23,Cmin11,C,45.33333333333334,263.6961975097656,67.85044860839844,38.913482666015625,69.1429443359375,193.5482635498047,116.86006927490234,67.37165832519531,123.10311126708984,88.5434799194336,276.2567443847656,99.39246368408203,112.178466796875
25,24,Bbmin11,Bb,46.0,698.8475952148438,561.9495239257812,1180.1702880859375,1445.3646240234375,1081.0328369140625,1978.4456787109375,1001.7633666992188,3679.1611328125,1008.1393432617188,457.8553466796875,1515.453125,467.107177734375
26,25,Amin11,A,48.0,652.7727661132812,178.8033905029297,238.8063201904297,140.8206024169922,325.2759704589844,117.87337493896484,129.71202087402344,509.9657897949219,97.22998809814453,117.4398422241211,84.21764373779297,326.7909240722656
27,25,Gmin11,G,48.66666666666666,430.0653076171875,118.1317367553711,163.56163024902344,138.23391723632812,345.7413330078125,643.4686889648438,193.08367919921875,301.56597900390625,125.4947738647461,145.14422607421875,211.46278381347656,145.61495971679688
28,25,Fmin11,F,49.33333333333334,153.99563598632812,81.22848510742188,225.56117248535156,152.35009765625,179.40985107421875,567.3092651367188,117.31756591796875,87.89615631103516,54.38188552856445,93.70008087158203,145.628662109375,59.69691467285156
29,26,Ebmin11,Eb,50.0,7154.158203125,1858.9281005859375,758.5939331054688,1597.4466552734375,687.2271118164062,1717.9547119140625,976.6968383789062,1291.7125244140625,1943.0238037109375,589.3372192382812,1425.16162109375,1365.43115234375
30,27,Dmin7(b5),D,52.0,1233.1427001953125,512.2788696289062,1165.9136962890625,501.1893310546875,482.6912536621094,2430.7666015625,811.691650390625,514.8792724609375,262.8091735839844,705.73974609375,180.01609802246094,230.09251403808594
31,28,G7,G,54.0,254.9943084716797,189.18873596191406,588.5535278320312,454.1174011230469,499.4527282714844,2333.100830078125,757.1998901367188,1594.6263427734375,3039.552490234375,594.1893920898438,461.0316467285156,1185.795654296875
32,29,Cmin7,C,56.0,316.0887756347656,82.0315933227539,123.23544311523438,540.8707885742188,163.1145477294922,54.82798385620117,85.86843872070312,485.0901794433594,82.10275268554688,72.31684112548828,372.9693603515625,158.11087036132812
33,29,Bmin7,B,57.0,50.67509078979492,17.429649353027344,39.897335052490234,117.13018035888672,25.355459213256836,16.55396842956543,9.32166576385498,35.9453239440918,6.7082743644714355,4.914062023162842,14.925435066223145,15.740721702575684
34,30,Bbmin7,Bb,58.0,184.98292541503906,410.2602844238281,242.3650665283203,99.98187255859375,179.514892578125,674.8120727539062,526.1889038085938,110.45919799804688,169.44935607910156,234.6793670654297,474.5048522949219,304.90460205078125
35,30,A7,A,59.0,71.99552154541016,335.3750305175781,108.33065032958984,172.7509765625,581.6472778320312,249.82301330566406,151.64566040039062,639.8710327148438,162.0247802734375,216.8452606201172,85.67758178710938,72.6864013671875
36,31,Abmaj7,Ab,60.0,2536.748046875,623.8136596679688,367.145263671875,1824.2276611328125,848.6958618164062,249.9293670654297,270.5602111816406,1160.9317626953125,937.8723754882812,195.3438720703125,118.02684783935547,608.5215454101562
37,32,G7(#9),G,62.0,345.8841247558594,207.32525634765625,578.8085327148438,443.6350402832031,497.270751953125,2315.205322265625,721.33935546875,1137.1163330078125,1792.0882568359375,741.509765625,2390.105712890625,1572.0047607421875
38,33,Cmin7,C,64.0,1188.1116943359375,267.1556091308594,402.1280517578125,1892.6783447265625,508.9434509277344,180.16534423828125,274.76080322265625,1739.0562744140625,276.0187683105469,197.8031463623047,1100.3336181640625,479.2514953613281
39,34,Cmin7,C,66.0,1152.2696533203125,250.8115692138672,350.79541015625,1882.1859130859375,495.1312255859375,126.96802520751953,163.46556091308594,945.4577026367188,158.3510284423828,189.9035186767578,1096.5599365234375,484.18017578125
40,35,Cmin7,C,68.0,1137.710693359375,251.61366271972656,399.6152648925781,1879.6661376953125,488.7182312011719,106.37268829345703,396.9004821777344,2738.554443359375,424.4869384765625,192.71087646484375,1083.3677978515625,475.8313903808594
41,36,Bmin7,B,70.0,218.4518280029297,270.2903747558594,1160.80517578125,477.943359375,114.00802612304688,419.6150207519531,2764.359130859375,1836.8974609375,334.2938232421875,621.2533569335938,352.423095703125,1206.5787353515625
42,37,Bbmin7,Bb,72.0,301.2400207519531,1080.0218505859375,295.5506896972656,166.67523193359375,454.1722412109375,2045.36572265625,595.9667358398438,1777.9381103515625,756.8604125976562,338.9136047363281,981.6288452148438,302.2447204589844
43,38,Abmaj7,Ab,74.0,343.3949890136719,99.48233032226562,104.00597381591797,490.5169677734375,155.30397033691406,61.47705078125,76.7121810913086,351.3141784667969,420.6443176269531,167.78973388671875,586.55419921875,168.61703491210938
44,38,G7,G,75.0,129.0175323486328,65.37608337402344,206.81817626953125,289.51849365234375,209.3795623779297,740.2973022460938,219.62962341308594,298.81817626953125,94.08840942382812,61.48871994018555,82.50106048583984,364.8627624511719
45,39,Cmin7,C,76.0,1159.3843994140625,296.6333312988281,560.7882080078125,2036.7093505859375,562.9782104492188,534.2763061523438,420.148193359375,2136.031005859375,337.9344482421875,189.7836151123047,1140.9581298828125,665.2476806640625
46,40,Bmin7,B,78.0,219.2054443359375,274.270263671875,1133.6102294921875,466.23095703125,115.36637115478516,487.0501708984375,2795.448486328125,1854.9229736328125,336.9156494140625,623.3233642578125,354.1571960449219,1201.5758056640625
47,41,Bbmin7,Bb,80.0,300.43890380859375,1079.2230224609375,300.174560546875,167.40655517578125,450.2977600097656,2040.5440673828125,597.2899780273438,1791.4537353515625,755.055908203125,339.6969299316406,981.0881958007812,301.3917541503906
48,42,Abmaj7,Ab,82.0,343.3764343261719,99.69412994384766,104.9681396484375,491.1808776855469,155.27284240722656,61.54982376098633,76.68253326416016,351.3545227050781,421.1488037109375,167.94088745117188,586.7218627929688,168.73611450195312
49,42,G7,G,83.0,129.03012084960938,65.3286361694336,206.6907501220703,289.5196228027344,209.91529846191406,740.6776733398438,219.62535095214844,298.9521484375,94.14737701416016,61.60287094116211,82.52632141113281,364.9407043457031
50,43,Cmin7,C,84.0,1159.369873046875,296.6050109863281,560.7884521484375,2036.9520263671875,563.1797485351562,534.1246337890625,420.0210266113281,2135.88623046875,337.9474792480469,189.8349151611328,1140.8887939453125,665.1804809570312
51,44,Bmin7,B,86.0,219.17921447753906,274.2702331542969,1133.6217041015625,466.1750183105469,115.47396850585938,487.1054382324219,2795.523681640625,1854.9359130859375,336.90057373046875,623.2904052734375,354.1485290527344,1201.4420166015625
52,45,Bbmin7,Bb,88.0,300.4497375488281,1079.2188720703125,300.1802673339844,167.4319610595703,450.1911315917969,2040.482421875,597.2979736328125,1791.4586181640625,755.0579223632812,339.70062255859375,981.0894165039062,301.41473388671875
53,46,Abmaj7,Ab,90.0,27166.427734375,7091.79296875,18799.51953125,20614.916015625,4608.33251953125,4011.132080078125,3006.074462890625,9904.69140625,6447.55126953125,1886.76123046875,1369.43701171875,6066.828125
