,Measure,Blue Moon,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
20,11,Cmin7,C,21.0,42.28434371948242,188.7554931640625,134.56285095214844,397.6970520019531,83.27112579345703,102.85474395751953,51.779537200927734,157.6047821044922,41.79973220825195,129.64759826660156,764.5739135742188,111.2791976928711
21,12,Fmin7,F,22.0,223.8599090576172,59.539398193359375,91.56041717529297,371.9087219238281,89.35623931884766,39.14284133911133,36.644683837890625,186.2530975341797,31.69243049621582,22.143171310424805,119.19735717773438,55.62820816040039
22,12,Bb7,Bb,23.0,268.2336730957031,60.91718673706055,92.21016693115234,348.7771911621094,122.37340545654297,203.61412048339844,48.52140426635742,72.80186462402344,174.478759765625,247.34690856933594,1428.4105224609375,256.3463134765625
23,13,Eb7,Eb,24.0,82.25878143310547,56.98118209838867,235.62083435058594,111.68192291259766,124.11748504638672,586.1607055664062,151.77264404296875,255.7958526611328,137.93067932128906,99.2408447265625,129.2295684814453,48.0378532409668
24,13,Cmin7,C,25.0,42.12800979614258,188.10227966308594,138.94696044921875,397.8568420410156,81.1520004272461,96.271484375,107.3717269897461,608.520751953125,105.83733367919922,33.58779525756836,149.841796875,30.733705520629883
25,14,Fmin7,F,26.0,909.295166015625,252.49114990234375,355.7120666503906,1502.6827392578125,393.6155090332031,261.7884826660156,172.65235900878906,863.7478637695312,264.7181701660156,108.39117431640625,433.0613098144531,231.09527587890625
26,15,Eb7,Eb,28.0,46.54243469238281,18.462217330932617,43.6458854675293,204.0884246826172,53.15324783325195,49.08729934692383,20.33985710144043,31.427778244018555,6.067276477813721,8.209305763244629,41.9637336730957,19.86295509338379
27,15,Fmin,F,29.0,40.442142486572266,182.5177001953125,134.0797576904297,585.7200317382812,102.64362335205078,29.896669387817383,33.97773742675781,168.77467346191406,28.832761764526367,28.22044563293457,145.78506469726562,31.578842163085938
28,16,Eb,Eb,30.0,490.1683044433594,133.1839141845703,144.20144653320312,518.703857421875,319.6865234375,1339.6944580078125,277.62176513671875,251.6368865966797,313.11773681640625,92.2328872680664,198.20042419433594,131.38172912597656
29,17,Fmin7,F,32.0,4.251587867736816,11.510414123535156,45.58572769165039,226.19630432128906,49.05514144897461,52.28334426879883,20.616680145263672,35.2506217956543,7.828628063201904,6.8923420906066895,41.307769775390625,12.944746971130371
30,17,Bb7,Bb,33.0,316.2305603027344,69.35637664794922,81.1729507446289,342.50927734375,156.04835510253906,372.8075256347656,63.95417404174805,63.92379379272461,101.12429809570312,52.370426177978516,26.4616641998291,55.889801025390625
31,18,Eb,Eb,34.0,236.388916015625,193.3716583251953,967.6194458007812,684.68701171875,367.9106750488281,1458.3525390625,726.6936645507812,3222.978759765625,783.1777954101562,244.73841857910156,538.74560546875,170.37017822265625
32,19,Fmin7,F,36.0,10.981311798095703,13.880118370056152,55.18243408203125,234.01206970214844,50.76959228515625,52.58513259887695,21.595550537109375,36.414798736572266,8.303521156311035,7.246192455291748,42.31845474243164,14.33488941192627
33,19,Bb7,Bb,37.0,298.8653869628906,66.69593811035156,82.3031005859375,340.2982177734375,156.98765563964844,378.3133239746094,65.15869140625,64.38410186767578,100.97139739990234,50.61796569824219,24.64229393005371,53.57028579711914
34,20,Eb7,Eb,38.0,243.21240234375,341.2058410644531,1001.2990112304688,683.5087280273438,371.049560546875,1467.9468994140625,729.017333984375,3225.357177734375,790.01611328125,247.81329345703125,539.8113403320312,170.8814239501953
35,21,Abmin7,Ab,40.0,12.39418888092041,21.53348731994629,55.98501205444336,228.74021911621094,49.927608489990234,52.44040298461914,21.353113174438477,35.29939651489258,8.151062965393066,7.183041095733643,42.51626205444336,14.633137702941895
36,21,Db7,Db,41.0,50.88930130004883,32.60810470581055,92.98693084716797,454.2142333984375,89.16631317138672,97.44017791748047,412.9270935058594,131.56021118164062,121.05147552490234,30.898717880249023,97.18692016601562,182.5025177001953
37,22,Gb,Gb,42.0,464.1044006347656,1128.99755859375,251.625,312.1553039550781,466.9903564453125,2577.570068359375,797.7754516601562,239.04933166503906,435.4661560058594,187.5375518798828,334.3430480957031,1059.6121826171875
38,23,Bbmaj7,Bb,44.0,90.09432983398438,510.6430969238281,94.17184448242188,25.139936447143555,17.933866500854492,45.98768997192383,35.50969696044922,15.625687599182129,46.72929382324219,14.69553279876709,22.339454650878906,44.8294792175293
39,23,F7,F,45.0,70.86425018310547,286.4566345214844,1418.2445068359375,243.75721740722656,88.84127807617188,381.5538330078125,112.91165924072266,20.36142921447754,38.12905502319336,172.6676483154297,137.40432739257812,52.29302978515625
40,24,Fmin7,F,46.0,293.5508728027344,117.4734115600586,286.6058044433594,407.5947570800781,196.91636657714844,398.044189453125,89.68952178955078,53.41169357299805,39.25838851928711,101.84761810302734,28.654191970825195,54.75984573364258
41,24,Bb7,Bb,47.0,273.5683288574219,63.57596969604492,104.00717163085938,348.4547119140625,124.77172088623047,189.15711975097656,34.7271842956543,46.902462005615234,89.5865707397461,48.88435363769531,194.96287536621094,75.45431518554688
42,25,Eb7,Eb,48.0,146.5817413330078,161.8816375732422,609.9651489257812,199.8053436279297,202.54510498046875,831.0801391601562,265.4226379394531,107.62716674804688,493.3721008300781,459.0136413574219,1667.0728759765625,305.6595153808594
43,25,Cmin7,C,49.0,42.59678268432617,173.04852294921875,150.50360107421875,406.7176513671875,114.2503662109375,247.9932861328125,66.52596282958984,164.36260986328125,53.386043548583984,61.30229187011719,347.0547180175781,63.029293060302734
44,26,Fmin7,F,50.0,218.18177795410156,56.867557525634766,98.91024017333984,374.5686340332031,87.44242095947266,39.821998596191406,38.55301284790039,180.88829040527344,33.60667037963867,33.629066467285156,169.30860900878906,64.1095199584961
45,26,Bb7,Bb,51.0,290.1680603027344,79.10780334472656,148.62950134277344,382.1893310546875,145.8314971923828,266.33197021484375,71.3133773803711,104.5670394897461,179.6894073486328,275.9617614746094,1428.21044921875,270.1570739746094
46,27,Ebmaj7,Eb,52.0,68.94275665283203,34.49011993408203,131.1077423095703,144.65464782714844,99.9445571899414,331.0145568847656,60.67039108276367,134.5798797607422,887.345947265625,279.1830749511719,599.0354614257812,89.5091552734375
47,27,Cmin7,C,53.0,23.267715454101562,73.13345336914062,346.1953125,423.737060546875,92.11011505126953,64.8684310913086,41.98971939086914,171.4005889892578,33.248592376708984,35.397666931152344,204.64613342285156,39.09246063232422
48,28,Fmin7,F,54.0,527.3649291992188,145.5394287109375,291.4499206542969,922.193603515625,292.1732482910156,96.09552001953125,97.1759033203125,452.6912536621094,102.70968627929688,109.53412628173828,526.1384887695312,236.0602569580078
49,28,Bb7,Bb,55.0,401.69189453125,97.16732025146484,169.99818420410156,482.7969055175781,193.2082061767578,201.27684020996094,264.8207092285156,1634.9036865234375,658.3826293945312,126.05323028564453,75.00880432128906,101.2100830078125
50,29,Ebmaj7,Eb,56.0,101.15841674804688,65.34607696533203,265.05523681640625,170.2861785888672,122.42554473876953,543.6771850585938,146.39137268066406,283.0303649902344,143.5065460205078,104.45601654052734,138.5951385498047,47.56744384765625
51,29,Cmin7,C,57.0,21.88978385925293,53.18507385253906,238.0938262939453,424.5854797363281,85.50914764404297,90.32193756103516,61.887969970703125,248.87168884277344,52.756046295166016,33.693580627441406,148.01454162597656,30.92380714416504
52,30,Fmin7,F,58.0,1891.1497802734375,489.1634216308594,890.0833129882812,3211.718017578125,1025.95068359375,429.4414978027344,332.6056823730469,1590.5379638671875,453.0993957519531,397.8870544433594,1962.4571533203125,771.7828979492188
53,31,Eb7,Eb,60.0,45.64236068725586,17.97304916381836,43.966339111328125,205.3662109375,53.30047607421875,48.93857955932617,20.801738739013672,35.46109390258789,6.560205459594727,7.677213191986084,40.06595230102539,19.821754455566406
54,31,Fmin7,F,61.0,39.800201416015625,183.3994598388672,101.743408203125,333.9078063964844,61.43769454956055,27.13370704650879,31.281265258789062,159.32032775878906,27.473220825195312,27.88033103942871,145.9054718017578,29.633825302124023
55,32,Eb,Eb,62.0,266.183837890625,63.38153076171875,83.7884521484375,346.6270446777344,113.67829132080078,143.25941467285156,25.308319091796875,51.54450988769531,81.4013442993164,20.08060646057129,15.199965476989746,48.972721099853516
56,32,Bb7,Bb,63.0,53.81788635253906,21.278539657592773,79.35332489013672,385.6811828613281,82.3460464477539,42.66316223144531,32.4581413269043,155.3162078857422,26.188730239868164,27.973142623901367,142.62261962890625,34.81438064575195
57,33,Eb7,Eb,64.0,90.27335357666016,151.86514282226562,613.8506469726562,201.51341247558594,198.80308532714844,867.8671264648438,264.5615234375,114.01953125,494.3733215332031,467.562255859375,1822.1212158203125,318.14093017578125
58,33,Fmin7,F,65.0,648.7708129882812,294.4788818359375,278.690185546875,651.7989501953125,394.1260070800781,535.8994140625,181.87318420410156,609.6325073242188,602.801025390625,173.9341583251953,253.64723205566406,184.9085693359375
59,34,Ebmaj7,Eb,66.0,1999.73876953125,1502.4010009765625,7039.28955078125,10045.9365234375,1993.4420166015625,1969.9586181640625,938.9379272460938,3929.803955078125,945.0322265625,1010.149658203125,4637.65771484375,1239.55859375
